month,p10,p25,p50,p75,p90
2061-07-01,748398.2543603996,958439.0363306938,1276777.6722074393,1741693.635032649,2327085.5446638633
2061-08-01,750880.3969833361,962632.2683111017,1281893.3097881353,1753017.6772328655,2346418.2166939243
2061-09-01,753847.4147842843,966586.185301378,1290026.97596613,1762136.6281210924,2356183.3258874784
2061-10-01,756325.101205061,971453.0032706892,1298280.62725846,1778108.6808957292,2368607.8857669136
2061-11-01,760143.9648707813,978887.6795710719,1303703.469200544,1780579.3187953362,2375907.8496622583
2061-12-01,763246.5396987941,980626.8256215379,1306439.0252077547,1794618.165445768,2387481.4066617284
2062-01-01,767377.2327759602,984299.3204047024,1314567.2284362013,1799986.0219847476,2411122.8390838783
2062-02-01,770789.0327927311,986434.8907477957,1322142.304747303,1807951.9785090405,2429230.053129879
2062-03-01,772760.1023718002,994327.232306282,1327220.6795588357,1817186.6362318262,2447999.2629647027
2062-04-01,775518.6211094651,998456.7331665212,1336818.7068479059,1829801.983980209,2453431.287574097
2062-05-01,781632.2852777826,1004729.5827007112,1343382.3332405116,1835221.9915898715,2470756.8354295013
2062-06-01,782780.5421485507,1007131.6416675423,1348099.5390760638,1848030.3259910322,2491002.0613076696
2062-07-01,787091.9259672507,1013991.1366119945,1354401.0260982208,1855084.4198842233,2511704.0488201138
2062-08-01,788283.0456339874,1015947.8799592596,1361941.8248416581,1867133.1078781025,2520130.4679954676
2062-09-01,789370.0009314343,1019824.4157386159,1362797.3002486737,1879682.9512071298,2531961.5301004183
2062-10-01,793788.5965877043,1020218.3075956339,1368935.3333067829,1889484.9201336554,2537808.423899012
2062-11-01,795635.6731432768,1027148.9662043536,1375274.7288048845,1899730.8295940692,2548147.499129458
2062-12-01,799437.9395768149,1030753.8736873141,1383284.4563573024,1909436.5328139046,2563601.1504975553
2063-01-01,803906.972964958,1034700.4449247736,1391936.9140298106,1916495.9099303894,2583637.4701999845
2063-02-01,807603.6963583002,1040774.2743262901,1397635.0338202913,1926338.1800458557,2599633.7053948576
2063-03-01,809921.4178425692,1042674.4344325233,1408087.3800287952,1932970.2124812482,2629725.138749523
2063-04-01,810024.4327695842,1045957.0455573613,1411077.3176976354,1942644.745881418,2649612.93040299
2063-05-01,815767.8478541813,1053922.9155044397,1416593.7885949775,1951454.0060746311,2661990.0653432035
2063-06-01,819221.2371987873,1058961.5270299714,1423354.4075110436,1961519.3455709019,2650472.280782386
2063-07-01,823382.1859262243,1062901.864986539,1428485.60313136,1971288.3416949292,2668785.3203185294
2063-08-01,825891.7849861081,1064653.0499650363,1437396.1449213633,1982404.5750486287,2693709.8215862764
2063-09-01,828268.1824368376,1066267.8872260198,1443496.4251539041,1994570.7465553842,2705513.0308663286
2063-10-01,832217.8415962509,1072471.521186907,1451623.4321089278,2007220.1101471537,2709777.129333515
2063-11-01,839366.6602171345,1074978.5173707474,1458295.48200982,2014112.379604891,2722146.502581229
2063-12-01,839613.8185435443,1081590.657992463,1467187.338243388,2021081.8815565784,2738348.991619952
2064-01-01,840648.2520748837,1085386.2412058013,1474742.5124158638,2033501.864965635,2758281.610866978
2064-02-01,845547.5193798578,1092117.3874310951,1480386.1810174487,2037929.0107158176,2771521.41346165
2064-03-01,849923.5170035723,1100910.4748680317,1487494.467788867,2055247.172747184,2780295.5500238463
2064-04-01,852019.1969306724,1099977.3267962332,1490539.9253992338,2062994.6614873286,2793590.8865086534
